N,V1,V2,V3,V4,V5,V6,V7,solutions
400,1,398,77719,9228338,508963577,1011184856,0,0
401,1,400,78800,9541507,552881544,1260405745,0,0
402,1,400,78507,9375075,524744324,1247694275,0,0
403,1,402,79596,9690678,566099305,1335499104,0,0
404,1,402,79300,9518890,534296739,1151287808,0,0
405,1,404,80404,9854214,586756106,1643351602,0,0
406,1,404,80093,9659508,542424248,1189716707,0,0
407,1,406,81200,9994023,592954461,1503264307,0,0
408,1,406,80908,9829683,566309731,1458907496,0,0
409,1,408,82008,10148292,607022280,1552108187,0,0
410,1,408,81706,9966400,569615482,1325312154,0,0
411,1,410,82824,10312955,628383560,1899568621,0,0
412,1,410,82518,10124544,586892207,1419018831,0,0
413,1,412,83636,10460851,634623663,1695124471,0,0
414,1,412,83334,10283301,603626414,1711885166,0,0
415,1,414,84460,10623937,650917176,1773428262,0,0
416,1,414,84151,10436076,613917818,1560948306,0,0
417,1,416,85284,10789450,672529222,2194149997,0,0
418,1,416,84968,10586692,624852426,1647956077,0,0
419,1,418,86108,10942254,680171255,1993148211,0,0
420,1,418,85811,10770235,650468239,1937491521,0,0
421,1,420,86940,11105857,695559442,2092799584,0,0
422,1,420,86625,10908737,653736358,1804473543,0,0
423,1,422,87780,11280145,718381994,2573011273,0,0
424,1,422,87465,11080045,671936365,1899881671,0,0
425,1,424,88620,11442003,728233265,2254244119,0,0
426,1,424,88305,11249252,691684040,2249742352,0,0
427,1,426,89460,11606182,742331726,2387202506,0,0
428,1,426,89146,11411844,703639141,2109293412,0,0
429,1,428,90312,11785600,767576814,2954629281,0,0
430,1,428,89991,11575445,715141069,2173910968,0,0
431,1,430,91160,11948364,776444915,2654257023,0,0
432,1,430,90850,11761187,742164703,2644297516,0,0
433,1,432,92016,12121819,793431745,2780398748,0,0
434,1,432,91692,11912327,746053710,2386925679,0,0
435,1,434,92884,12310620,820018105,3257455843,0,0
436,1,434,92556,12094514,768152696,2547069393,0,0
437,1,436,93740,12473702,828592598,3027873030,0,0
438,1,436,93420,12273415,788729280,2958616561,0,0
439,1,438,94608,12652239,846065561,3188195433,0,0
440,1,438,94289,12449118,801404784,2769888643,0,0
441,1,440,95484,12841600,871302630,3782015839,0,0
442,1,440,95150,12614978,814900358,2889307788,0,0
443,1,442,96356,13014311,882579727,3486472403,0,0
444,1,442,96037,12816493,845470100,3442530064,0,0
445,1,444,97240,13202273,902266854,3591372237,0,0
446,1,444,96903,12976648,849983607,3161810208,0,0
447,1,446,98124,13393082,929131712,4294972532,0,0
448,1,446,97791,13167773,871241771,3291774391,0,0
449,1,448,99008,13570263,939547377,3976667010,0,0
450,1,448,98683,13361431,895792871,3846140687,0,0
451,1,450,99900,13758807,958883294,4205395946,0,0
452,1,450,99568,13540453,910389041,3648183963,0,0
453,1,452,100800,13959551,988188257,4868817288,0,0
454,1,452,100457,13719940,924292574,3768219972,0,0
455,1,454,101700,14145854,999240138,4437160337,0,0
456,1,454,101368,13931679,957188567,4383203445,0,0
457,1,456,102600,14335849,1019737006,4717602505,0,0
458,1,456,102258,14101998,963223069,4105133651,0,0
459,1,458,103512,14541422,1049635383,5553037746,0,0
460,1,458,103174,14308855,989287247,4279520882,0,0
461,1,460,104420,14729208,1061702263,5128451281,0,0
462,1,460,104082,14503716,1012138997,4932629394,0,0
463,1,462,105336,14928556,1083163304,5344699176,0,0
464,1,462,104995,14696964,1028394665,4678353765,0,0
465,1,464,106264,15144356,1115949328,6127826055,0,0
466,1,464,105908,14887255,1044761465,4854532324,0,0
467,1,466,107180,15332631,1127058124,5799151571,0,0
468,1,466,106843,15109986,1080836272,5736413840,0,0
469,1,468,108108,15537125,1148409373,5982119980,0,0
470,1,468,107761,15294885,1087890117,5233402011,0,0
471,1,470,109044,15754331,1182330981,6980393582,0,0
472,1,470,108693,15503968,1113770242,5510234640,0,0
473,1,472,109976,15952078,1195092113,6608257434,0,0
474,1,472,109629,15714940,1141780746,6271320297,1,1
475,1,474,110920,16167150,1220444993,6696700029,1,1
476,1,474,110566,15917975,1158878957,5959014407,0,0
477,1,476,111864,16384844,1252271205,7903811206,2,2
478,1,476,111503,16118955,1176639625,6186425390,0,0
